# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
AD11,VRAM_B_A9,IO_414,,,,,,,,,,,
AD12,VRAM_B_DQ12,IO_415,,,,,,,,,,,
AD13,VKY_+3V3,VCCIO3_4,,,,,,,,,,,
AD14,VID_B_HSYNC,IO_416,,,,,,,,,,,
AD15,VID_B_PIX7,IO_417,,,,,,,,,,,
AD16,VKY_+3V3,VCCIO4_2,,,,,,,,,,,
AD17,VID_A_PIX5,IO_418,,,,,,,,,,,
AD18,VID_A_PIX10,IO_419,,,,,,,,,,,
AD19,ETH_C\S\,IO_420,,,,,,,,,,,
AD20,VKY_+3V3,VCCIO4_3,,,,,,,,,,,
AD21,IO_D4,IO_421,,,,,,,,,,,
AD22,IO_D14,IO_422,,,,,,,,,,,
AD23,VKY_+3V3,VCCIO4_4,,,,,,,,,,,
AD24,IO_A2,IO_423,,,,,,,,,,,
AD25,IO_A0,IO_424,,,,,,,,,,,
AD26,AUD2_SDTI,IO_425,,,,,,,,,,,
AD27,LPC_L\D\R\Q\,IO_426,,,,,,,,,,,
AD28,LPC_L\F\R\A\M\E\,IO_427,,,,,,,,,,,
AE1,JOY0_BTN2,IO_428,,,,,,,,,,,
AE2,JOY0_DWN,IO_429,,,,,,,,,,,
AE3,JOY0_LFT,IO_430,,,,,,,,,,,
AE4,VRAM_B_DQ5,IO_431,,,,,,,,,,,
AE5,VID_B_CLK_P,IO_432/PLL1_CLKp,,,,,,,,,,,
AE6,VRAM_B_A10,IO_433,,,,,,,,,,,
AE7,VRAM_B_DQ17,IO_434,,,,,,,,,,,
AE8,VRAM_B_DQ24,IO_435,,,,,,,,,,,
AE9,VRAM_B_DQM3,IO_436,,,,,,,,,,,
AE10,VRAM_B_DQM1,IO_437,,,,,,,,,,,
AE11,VRAM_B_DQ13,IO_438,,,,,,,,,,,
AE12,VRAM_B_CLK,IO_439,,,,,,,,,,,
AE13,VID_B_VSYNC,IO_440,,,,,,,,,,,
AE14,VID_A_SPD,IO_441,,,,,,,,,,,
AE15,VID_B_PIX8,IO_442,,,,,,,,,,,
AE16,VID_B_PIX10,IO_443,,,,,,,,,,,
AE17,VID_A_PIX6,IO_444,,,,,,,,,,,
AE18,VID_A_PIX11,IO_445,,,,,,,,,,,
AE19,IO_A6,IO_446,,,,,,,,,,,
AE20,ETH_FIFO_SEL,IO_447,,,,,,,,,,,
AE21,IO_D9,IO_448,,,,,,,,,,,
AE22,IO_D11,IO_449,,,,,,,,,,,
AE23,VID_A_CLK_P,IO_450/PLL4_CLKp,,,,,,,,,,,
AE24,IO_W\R\,IO_451,,,,,,,,,,,
AE25,IO_A1,IO_452,,,,,,,,,,,
AE26,CODEC_DAC_MCLK,IO_453,,,,,,,,,,,
AE27,AUD2_LRCK,IO_454,,,,,,,,,,,
AE28,LPC_R\S\T\,IO_455,,,,,,,,,,,
AF1,DGND,GND_106,,,,,,,,,,,
AF2,JOY0_RGHT,IO_456,,,,,,,,,,,
AF3,VRAM_B_DQ6,IO_457,,,,,,,,,,,
AF4,VRAM_B_R\A\S\,IO_458,,,,,,,,,,,
AF5,,IO_459/PLL1_CLKn,,,,,,,,,,,
AF6,VRAM_B_DQ18,IO_460,,,,,,,,,,,
AF7,VRAM_B_DQ25,IO_461,,,,,,,,,,,
AF8,VRAM_B_A3,IO_462,,,,,,,,,,,
AF9,VRAM_B_DQ9,IO_463,,,,,,,,,,,
AF10,VRAM_B_DQ15,IO_464,,,,,,,,,,,
AF11,VID_B_R\S\T\,IO_465,,,,,,,,,,,
AF12,VID_B_PIX0,IO_466,,,,,,,,,,,
AF13,VID_A_SPC,IO_467,,,,,,,,,,,
AF14,VID_B_PIX3,IO_468,,,,,,,,,,,
AF15,VID_B_PIX9,IO_469,,,,,,,,,,,
AF16,VID_B_PIX11,IO_470,,,,,,,,,,,
AF17,VID_A_PIX2,IO_471,,,,,,,,,,,
AF18,VID_A_PIX9,IO_472,,,,,,,,,,,
AF19,CODEC_CL,IO_473,,,,,,,,,,,
AF20,IO_A7,IO_474,,,,,,,,,,,
AF21,IO_A3,IO_475,,,,,,,,,,,
AF22,IO_D7,IO_476,,,,,,,,,,,
AF23,,IO_477/PLL4_CLKn,,,,,,,,,,,
AF24,IO_D2,IO_478,,,,,,,,,,,
AF25,IDE_DATA_DIR,IO_479,,,,,,,,,,,
AF26,IDE_INTRQ,IO_480,,,,,,,,,,,
AF27,CODEC_ADC_MCLK,IO_481,,,,,,,,,,,
AF28,DGND,GND_107,,,,,,,,,,,
AG1,VKY_+3V3,VCCIO2_5,,,,,,,,,,,
AG2,DGND,GND_108,,,,,,,,,,,
AG3,VRAM_B_A0,IO_482,,,,,,,,,,,
AG4,VRAM_B_C\S\,IO_483,,,,,,,,,,,
AG5,DGND,GND_109,,,,,,,,,,,
AG6,VRAM_B_DQ26,IO_484,,,,,,,,,,,
AG7,VRAM_B_A4,IO_485,,,,,,,,,,,
AG8,VRAM_B_DQ8,IO_486,,,,,,,,,,,
AG9,DGND,GND_110,,,,,,,,,,,
AG10,DBG_TX,IO_487,,,,,,,,,,,
AG11,VID_B_HP_I\N\T\1\,IO_488,,,,,,,,,,,
AG12,VID_B_PIX1,IO_489,,,,,,,,,,,
AG13,DGND,GND_111,,,,,,,,,,,
AG14,OSC_CLK_25.175Mhz,CLK15,,,,,,,,,,,
AG15,OSC_CLK_65.000Mhz,CLK13,,,,,,,,,,,
AG16,DGND,GND_112,,,,,,,,,,,
AG17,VID_A_PIX1,IO_490,,,,,,,,,,,
AG18,VID_A_PIX8,IO_491,,,,,,,,,,,
AG19,CODEC_CE,IO_492,,,,,,,,,,,
AG20,DGND,GND_113,,,,,,,,,,,
AG21,ETH_I\R\Q\,IO_493,,,,,,,,,,,
AG22,IO_A4,IO_494,,,,,,,,,,,
AG23,IO_D8,IO_495,,,,,,,,,,,
AG24,DGND,GND_114,,,,,,,,,,,
AG25,IO_D13,IO_496,,,,,,,,,,,
AG26,IDE_DATA_O\E\,IO_497,,,,,,,,,,,
AG27,DGND,GND_115,,,,,,,,,,,
AG28,VKY_+3V3,VCCIO5_5,,,,,,,,,,,
AH2,VKY_+3V3,VCCIO3_5,,,,,,,,,,,
AH3,VRAM_B_A1,IO_498,,,,,,,,,,,
AH4,VRAM_B_DQ19,IO_499,,,,,,,,,,,
AH5,VKY_+3V3,VCCIO3_6,,,,,,,,,,,
AH6,VRAM_B_A5,IO_500,,,,,,,,,,,
AH7,VRAM_B_DQ10,IO_501,,,,,,,,,,,
AH8,VRAM_B_DQ14,IO_502,,,,,,,,,,,
AH9,VKY_+3V3,VCCIO3_7,,,,,,,,,,,
AH10,DBG_RX,IO_503,,,,,,,,,,,
AH11,VID_B_DE,IO_504,,,,,,,,,,,
AH12,VID_B_PIX2,IO_505,,,,,,,,,,,
AH13,VKY_+3V3,VCCIO3_8,,,,,,,,,,,
AH14,OSC_CLK_40.000Mhz,CLK14,,,,,,,,,,,
AH15,,CLK12,,,,,,,,,,,
AH16,VKY_+3V3,VCCIO4_5,,,,,,,,,,,
AH17,VID_A_PIX0,IO_506,,,,,,,,,,,
AH18,VID_A_PIX7,IO_507,,,,,,,,,,,
AH19,CODEC_DI,IO_508,,,,,,,,,,,
AH20,VKY_+3V3,VCCIO4_6,,,,,,,,,,,
AH21,,IO_509,,,,,,,,,,,
AH22,ETH_R\S\T\,IO_510,,,,,,,,,,,
AH23,IO_A5,IO_511,,,,,,,,,,,
AH24,VKY_+3V3,VCCIO4_7,,,,,,,,,,,
AH25,IO_D5,IO_512,,,,,,,,,,,
AH26,IO_D3,IO_513,,,,,,,,,,,
AH27,VKY_+3V3,VCCIO4_8,,,,,,,,,,,
B1,VKY_+3V3,VCCIO1_1,,,,,,,,,,,
B2,DGND,GND_1,,,,,,,,,,,
B3,68K_A29,IO_17,,,,,,,,,,,
B4,68K_A20,IO_18,,,,,,,,,,,
B5,DGND,GND_2,,,,,,,,,,,
B6,,IO_19,,,,,,,,,,,
B7,68K_I\P\E\N\D\,IO_20,,,,,,,,,,,
B8,68K_D0,IO_21,,,,,,,,,,,
B9,DGND,GND_3,,,,,,,,,,,
B10,68K_LOC,IO_22,,,,,,,,,,,
B11,68K_D9,IO_23,,,,,,,,,,,
B12,DGND,GND_4,,,,,,,,,,,
B13,DGND,GND_5,,,,,,,,,,,
B14,,CLK11,,,,,,,,,,,
B15,OSC_CLK_33.333Mhz,CLK9,,,,,,,,,,,
B16,DGND,GND_6,,,,,,,,,,,
B17,68K_PST3,IO_24,,,,,,,,,,,
B18,68K_D24,IO_25,,,,,,,,,,,
B19,68K_A1,IO_26,,,,,,,,,,,
B20,DGND,GND_7,,,,,,,,,,,
B21,68K_L\O\C\K\,IO_27,,,,,,,,,,,
B22,68K_F\L\A\S\H\_\C\S\1\,IO_28,,,,,,,,,,,
B23,68K_A8,IO_29,,,,,,,,,,,
B24,DGND,GND_8,,,,,,,,,,,
B25,68K_S\R\A\M\_\C\S\1\,IO_30,,,,,,,,,,,
B26,68K_S\R\A\M\_\C\S\0\,IO_31,,,,,,,,,,,
B27,DGND,GND_9,,,,,,,,,,,
B28,VKY_+3V3,VCCIO6_1,,,,,,,,,,,
C1,DGND,GND_10,,,,,,,,,,,
C2,MACHINE_ID0,IO_32,,,,,,,,,,,
C3,68K_A31,IO_33,,,,,,,,,,,
C4,68K_A21,IO_34,,,,,,,,,,,
C5,,IO_35/PLL3_CLKn,,,,,,,,,,,
C6,68K_A14,IO_36,,,,,,,,,,,
C7,68K_C\I\O\U\T\,IO_37,,,,,,,,,,,
C8,68K_D1,IO_38,,,,,,,,,,,
C9,68K_A23,IO_39,,,,,,,,,,,
C10,68K_L\F\O\,IO_40,,,,,,,,,,,
C11,68K_I\P\L\2\,IO_41,,,,,,,,,,,
C12,68K_DLE,IO_42,,,,,,,,,,,
C13,68K_A\V\E\C\,IO_43,,,,,,,,,,,
C14,68K_B\G\,IO_44,,,,,,,,,,,
C15,68K_T\I\P\,IO_45,,,,,,,,,,,
C16,68K_D27,IO_46,,,,,,,,,,,
C17,68K_T\S\,IO_47,,,,,,,,,,,
C18,68K_B\G\A\C\K\,IO_48,,,,,,,,,,,
C19,68K_A3,IO_49,,,,,,,,,,,
C20,68K_TLN0,IO_50,,,,,,,,,,,
C21,68K_L\O\C\K\E\,IO_51,,,,,,,,,,,
C22,68K_F\L\A\S\H\_\W\E\,IO_52,,,,,,,,,,,
C23,,IO_53/PLL2_CLKn,,,,,,,,,,,
C24,68K_S\R\A\M\_\B\E\1\,IO_54,,,,,,,,,,,
C25,68K_S\R\A\M\_\B\E\0\,IO_55,,,,,,,,,,,
C26,Audio Mute,IO_56,,,,,,,,,,,
C27,Audio Standby,IO_57,,,,,,,,,,,
C28,DGND,GND_11,,,,,,,,,,,
D1,MACHINE_ID1,IO_58,,,,,,,,,,,
D2,INT_POWER_LED,IO_59,,,,,,,,,,,
D3,DGND,GND_12,,,,,,,,,,,
D4,68K_A22,IO_60,,,,,,,,,,,
D5,68K_BCLK,IO_61/PLL3_CLKp,,,,,,,,,,,
D6,68K_A15,IO_62,,,,,,,,,,,
D7,68K_UPA1,IO_63,,,,,,,,,,,
D8,68K_D4,IO_64,,,,,,,,,,,
D9,68K_A25,IO_65,,,,,,,,,,,
D10,68K_D2,IO_66,,,,,,,,,,,
D11,68K_M\D\I\S\,IO_67,,,,,,,,,,,
D12,68K_R\E\S\E\T\_\I\N\,IO_68,,,,,,,,,,,
D13,68K_T\B\I\,IO_69,,,,,,,,,,,
D14,68K_T\E\A\,IO_70,,,,,,,,,,,
D15,68K_D23,IO_71,,,,,,,,,,,
D16,68K_D25,IO_72,,,,,,,,,,,
D17,68K_M\I\,IO_73,,,,,,,,,,,
D18,68K_SIZ0,IO_74,,,,,,,,,,,
D19,68K_A4,IO_75,,,,,,,,,,,
D20,68K_TLN1,IO_76,,,,,,,,,,,
D21,68K_TM1,IO_77,,,,,,,,,,,
D22,68K_R\S\T\,IO_78,,,,,,,,,,,
D23,68K_PCLK,IO_79/PLL2_CLKp,,,,,,,,,,,
D24,68K_S\R\A\M\_\O\E\,IO_80,,,,,,,,,,,
D25,CONFIG_MISO,IO_81,,,,,,,,,,,
D26,DCSG_RDY,IO_82,,,,,,,,,,,
D27,OPM_CLK,IO_83,,,,,,,,,,,
D28,OPN2_CLK,IO_84,,,,,,,,,,,
E1,F_SD_WP,IO_85,,,,,,,,,,,
E2,,"IO_86/FLASH_C\E\, C\S\0\",,,,,,,,,,,
E3,POWER_LED,IO_87,,,,,,,,,,,
E4,68K_A24,IO_88,,,,,,,,,,,
E5,68K_A17,IO_89,,,,,,,,,,,
E6,VKY_+3V3,VCCIO8_5,,,,,,,,,,,
E7,68K_A10,IO_90,,,,,,,,,,,
E8,68K_TT1,IO_91,,,,,,,,,,,
E9,VKY_+3V3,VCCIO8_6,,,,,,,,,,,
E10,68K_D5,IO_92,,,,,,,,,,,
E11,68K_D7,IO_93,,,,,,,,,,,
E12,68K_D11,IO_94,,,,,,,,,,,
E13,VKY_+3V3,VCCIO8_7,,,,,,,,,,,
E14,68K_D15,IO_95,,,,,,,,,,,
E15,68K_D19,IO_96,,,,,,,,,,,
E16,VKY_+3V3,VCCIO7_5,,,,,,,,,,,
E17,68K_SIZ1,IO_97,,,,,,,,,,,
E18,68K_TM2,IO_98,,,,,,,,,,,
E19,68K_A5,IO_99,,,,,,,,,,,
E20,VKY_+3V3,VCCIO7_6,,,,,,,,,,,
E21,,IO_100,,,,,,,,,,,
E22,68K_S\R\A\M\_\W\E\,IO_101,,,,,,,,,,,
E23,VKY_+3V3,VCCIO7_7,,,,,,,,,,,
E24,68K_F\L\A\S\H\_\C\S\0\,IO_102,,,,,,,,,,,
E25,CONFIG_MOSI,IO_103,,,,,,,,,,,
E26,DCSG_CLK,IO_104,,,,,,,,,,,
E27,SID_CLK,IO_105,,,,,,,,,,,
E28,OPL3_CLK,IO_106,,,,,,,,,,,
F1,F_SD_CD,IO_107,,,,,,,,,,,
F2,F_SD_CLK,IO_108,,,,,,,,,,,
F3,F_SD_DAT0,IO_109,,,,,,,,,,,
F4,,IO_110/DATA1/ASDO,,,,,,,,,,,
F5,F_SD_DAT1,IO_111,,,,,,,,,,,
F6,DGND,GND_13,,,,,,,,,,,
F7,68K_A12,IO_112,,,,,,,,,,,
F8,68K_A16,IO_113,,,,,,,,,,,
F9,DGND,GND_14,,,,,,,,,,,
F10,68K_R\E\S\E\T\_\O\U\T\,IO_114,,,,,,,,,,,
F11,68K_C\D\I\S\,IO_115,,,,,,,,,,,
F12,68K_I\P\L\0\,IO_116,,,,,,,,,,,
F13,DGND,GND_15,,,,,,,,,,,
F14,68K_SC0,IO_117,,,,,,,,,,,
F15,68K_T\A\,IO_118,,,,,,,,,,,
F16,DGND,GND_16,,,,,,,,,,,
F17,68K_R/W\,IO_119,,,,,,,,,,,
F18,68K_A2,IO_120,,,,,,,,,,,
F19,68K_A7,IO_121,,,,,,,,,,,
F20,DGND,GND_17,,,,,,,,,,,
F21,,IO_122,,,,,,,,,,,
F22,68K_F\L\A\S\H\_\O\E\,IO_123,,,,,,,,,,,
F23,DGND,GND_18,,,,,,,,,,,
F24,CONFIG_SCLK,IO_124,,,,,,,,,,,
F25,CONFIG_C\S\,IO_125,,,,,,,,,,,
F26,OPM_I\N\T\,IO_126,,,,,,,,,,,
F27,OPN2_I\N\T\,IO_127,,,,,,,,,,,
F28,OPL3_I\N\T\,IO_128/A\V\D\,,,,,,,,,,,
G1,KBD_I\N\T\,IO_129,,,,,,,,,,,
G2,KBD_MISO,IO_130,,,,,,,,,,,
G3,STS_CLK,IO_131,,,,,,,,,,,
G4,F_SD_DAT2,IO_132,,,,,,,,,,,
G5,F_SD_DAT3,IO_133,,,,,,,,,,,
G6,F_SD_CMD,IO_134/R\E\S\E\T\,,,,,,,,,,,
G7,68K_A13,IO_135,,,,,,,,,,,
G8,68K_A19,IO_136,,,,,,,,,,,
G9,68K_A28,IO_137,,,,,,,,,,,
G10,68K_UPA0,IO_138,,,,,,,,,,,
G11,68K_D6,IO_139,,,,,,,,,,,
G12,68K_D10,IO_140,,,,,,,,,,,
G13,68K_D16,IO_141,,,,,,,,,,,
G14,68K_SC1,IO_142,,,,,,,,,,,
G15,68K_PST1,IO_143,,,,,,,,,,,
G16,68K_D22,IO_144,,,,,,,,,,,
G17,68K_A6,IO_145,,,,,,,,,,,
G18,68K_D30,IO_146,,,,,,,,,,,
G19,,IO_147,,,,,,,,,,,
G20,68K_TM0,IO_148,,,,,,,,,,,
G21,,IO_149,,,,,,,,,,,
G22,,IO_150,,,,,,,,,,,
G23,,IO_151,,,,,,,,,,,
G24,ABUS_R\S\T\_o,IO_152,,,,,,,,,,,
G25,CHIPTUNE_R\S\T\,IO_153,,,,,,,,,,,
G26,ABUS_SID_LATCH_o,IO_154,,,,,,,,,,,
G27,ABUS_SID_IN_o,IO_155/O\E\,,,,,,,,,,,
G28,ABUS_SID_CLK_o,IO_156/W\E\,,,,,,,,,,,
H1,VKY_+3V3,VCCIO1_2,,,,,,,,,,,
H2,DGND,GND_19,,,,,,,,,,,
H3,MTX_LATCH,IO_157,,,,,,,,,,,
H4,KBD_MOSI,IO_158,,,,,,,,,,,
H5,KBD_C\S\,IO_159,,,,,,,,,,,
H6,MTX_SERIAL_IN,IO_160,,,,,,,,,,,
H7,KBD_CLK,IO_161,,,,,,,,,,,
H8,68K_A26,IO_162,,,,,,,,,,,
H9,DGND,GNDA3,,,,,,,,,,,
H10,68K_TT0,IO_163,,,,,,,,,,,
H11,VKY_+3V3,VCCIO8_8,,,,,,,,,,,
H12,68K_I\P\L\1\,IO_164,,,,,,,,,,,
H13,68K_D13,IO_165,,,,,,,,,,,
H14,68K_D18,IO_166,,,,,,,,,,,
H15,68K_PST2,IO_167,,,,,,,,,,,
H16,68K_D20,IO_168,,,,,,,,,,,
H17,68K_A9,IO_169,,,,,,,,,,,
H18,VKY_+3V3,VCCIO7_8,,,,,,,,,,,
H19,,IO_170,,,,,,,,,,,
H20,DGND,GNDA2,,,,,,,,,,,
H21,,IO_171,,,,,,,,,,,
H22,,IO_172,,,,,,,,,,,
H23,,IO_173,,,,,,,,,,,
H24,ABUS_CTRL_CLK_o,IO_174,,,,,,,,,,,
H25,ABUS_CTRL_IN_o,IO_175,,,,,,,,,,,
H26,ABUS_CTRL_LATCH_o,IO_176,,,,,,,,,,,
H27,DGND,GND_20,,,,,,,,,,,
H28,VKY_+3V3,VCCIO6_2,,,,,,,,,,,
J1,,CLK1,,,,,,,,,,,
J2,DGND,GND_21,,,,,,,,,,,
J3,BTX_BUZZER,IO_177,,,,,,,,,,,
J4,SDCARD_LED,IO_178,,,,,,,,,,,
J5,STS_SERIAL_IN,IO_179,,,,,,,,,,,
J6,MTX_CLK,IO_180,,,,,,,,,,,
J7,STS_LATCH,IO_181,,,,,,,,,,,
J8,NetC382_1,VCCA3,,,,,,,,,,,
J9,NetC358_1,VCCD_PLL3,,,,,,,,,,,
J10,68K_A11,IO_182,,,,,,,,,,,
J11,DGND,GND_22,,,,,,,,,,,
J12,,IO_183,,,,,,,,,,,
J13,68K_T\C\I\,IO_184,,,,,,,,,,,
J14,68K_D14,IO_185,,,,,,,,,,,
J15,68K_D17,IO_186,,,,,,,,,,,
J16,68K_PST0,IO_187,,,,,,,,,,,
J17,68K_D29,IO_188,,,,,,,,,,,
J18,DGND,GND_23,,,,,,,,,,,
J19,,IO_189,,,,,,,,,,,
J20,NetC358_1,VCCD_PLL2,,,,,,,,,,,
J21,NetC382_1,VCCA2,,,,,,,,,,,
J22,,IO_190,,,,,,,,,,,
J23,,IO_191,,,,,,,,,,,
J24,,IO_192,,,,,,,,,,,
J25,ABUS_DATA_CLK_o,IO_193,,,,,,,,,,,
J26,ABUS_DATA_LATCH_o,IO_194,,,,,,,,,,,
J27,,CLK4,,,,,,,,,,,
J28,,CLK5,,,,,,,,,,,
K1,RTC_C\S\,IO_195,,,,,,,,,,,
K2,RTC_A3,IO_196,,,,,,,,,,,
K3,RTC_\O\E\,IO_197,,,,,,,,,,,
K4,RTC_I\N\T\,IO_198,,,,,,,,,,,
K5,VKY_+3V3,VCCIO1_3,,,,,,,,,,,
K6,DGND,GND_24,,,,,,,,,,,
K7,RTC_R/W\,IO_199,,,,,,,,,,,
